date,ac
2011-12-9,7.76
2011-12-12,7.78
2011-12-13,8.13
2011-12-14,8.08
2011-12-15,8.25
2011-12-16,8.35
2011-12-19,8.39
2011-12-20,8.27
2011-12-21,8.1
2011-12-22,8.16
2011-12-23,8.14
2011-12-26,7.99
2011-12-27,7.88
2011-12-28,7.93
2011-12-29,7.95
2011-12-30,8.05
2012-1-4,7.99
2012-1-5,7.92
2012-1-6,7.91
2012-1-9,8.06
2012-1-10,8.41
2012-1-11,8.34
2012-1-12,8.28
2012-1-13,8.03
2012-1-16,7.76
2012-1-17,8.18
2012-1-18,7.97
2012-1-19,8.35
2012-1-20,8.51
2012-1-30,8.3
2012-1-31,8.3
2012-2-1,8.41
2012-2-2,8.56
2012-2-3,8.56
2012-2-6,8.51
